Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
12/3/2019,52,16,0,21,0,10,0,5,0
12/4/2019,33,10,0,9,0,12,0,2,0
12/5/2019,40,5,0,20,0,13,0,2,0
12/6/2019,77,23,0,30,0,18,0,6,0
12/7/2019,39,11,0,13,0,11,0,4,0
12/8/2019,63,12,0,21,0,22,0,8,0
12/9/2019,62,16,0,15,0,24,0,7,0
12/10/2019,66,17,0,20,0,22,1,6,0
12/11/2019,67,22,0,16,0,21,1,7,0
12/12/2019,75,18,0,22,0,19,0,16,0
12/13/19,75,19,0,23,0,22,0,11,0
12/14/19,49,10,0,17,0,18,0,4,0
12/15/19,33,7,0,7,0,14,0,5,0
12/16/19,61,17,0,18,0,17,0,9,0
12/17/19,50,16,0,14,0,14,0,6,0
12/18/19,49,11,0,19,0,14,0,5,0
12/19/19,58,15,0,14,0,20,0,8,1
12/20/19,52,13,0,16,0,14,0,9,0
12/21/19,75,21,0,26,0,19,0,9,0
12/22/19,60,19,0,16,0,17,0,8,0
12/23/19,69,26,0,11,0,20,0,12,0
12/24/19,61,17,0,21,0,18,0,5,0
12/25/19,63,15,0,22,0,21,0,5,0
12/26/19,37,9,1,11,0,10,0,6,0
12/27/19,65,14,0,22,1,16,0,12,0
12/28/19,67,9,0,22,1,21,0,14,0
12/29/19,43,11,0,16,0,14,0,2,0
12/30/19,34,11,0,6,0,13,0,4,0
12/31/19,38,11,0,8,0,14,0,5,0
1/1/2020,34,10,0,8,0,8,1,7,0
1/2/2020,60,19,0,22,0,10,0,9,0
1/3/2020,58,14,0,17,0,19,0,8,0
1/4/2020,46,10,0,16,0,13,0,7,0
1/5/2020,45,13,0,13,0,10,0,9,0
1/6/2020,56,15,0,16,0,22,0,3,0
1/7/2020,27,6,0,7,0,12,0,2,0
1/8/2020,53,12,0,16,0,19,0,6,0
1/9/2020,62,20,0,15,0,23,0,4,0
1/10/2020,67,15,0,24,0,17,0,11,0
1/11/2020,40,6,0,19,0,10,0,5,0
1/12/2020,34,8,0,8,0,13,0,5,0
01/13/20,59,28,0,15,0,13,0,3,0
01/14/20,33,6,0,11,0,12,0,4,0
01/15/20,39,12,0,14,0,13,0,0,0
01/16/20,65,14,0,19,0,20,0,12,0
01/17/20,53,16,0,10,1,18,0,8,0
01/18/20,30,8,0,10,0,9,0,3,0
01/19/20,70,22,0,19,0,25,0,4,0
01/20/20,50,18,0,13,0,14,0,5,0
01/21/20,76,21,0,25,0,23,0,7,0
01/22/20,71,24,0,15,0,21,0,11,0
01/23/20,38,10,0,14,0,12,0,2,0
01/24/20,32,9,0,13,0,8,0,2,0
01/25/20,58,13,0,16,0,24,0,5,0
01/26/20,73,23,0,22,0,21,0,7,0
01/27/20,68,20,0,20,0,22,0,6,0
01/28/20,47,9,0,22,0,12,0,4,0
1/29/2020,35,8,0,11,0,13,0,3,0
1/30/2020,47,20,1,8,0,13,0,5,0
1/31/2020,80,32,0,19,0,24,0,5,0
2/1/2020,40,12,0,11,0,11,0,6,0
2/2/2020,51,12,0,13,0,17,0,9,0
2/3/2020,54,13,0,12,0,25,0,4,0
2/4/2020,55,15,0,15,0,21,0,4,0
2/5/2020,68,24,0,17,0,22,0,5,0
2/6/2020,33,5,0,8,0,16,0,4,0
2/7/2020,32,5,1,12,0,11,0,3,0
2/8/2020,65,23,0,15,0,24,0,3,0
2/9/2020,40,9,0,7,0,14,0,10,0
02/10/20,65,25,0,18,0,18,0,3,1
02/11/20,49,15,0,17,0,14,0,3,0
02/12/20,44,13,0,9,0,20,0,2,0
02/13/20,74,15,0,25,0,25,0,9,0
02/14/20,76,24,0,15,0,28,0,9,0
02/15/20,77,24,0,17,0,23,0,13,0
02/16/20,59,17,0,19,0,20,0,3,0
02/17/20,50,17,0,16,0,9,0,8,0
02/18/20,30,7,0,5,0,15,0,3,0
02/19/20,73,19,0,20,0,26,0,8,0
02/20/20,44,8,0,15,0,17,0,4,0
02/21/20,51,14,0,15,0,18,0,4,0
02/22/20,67,25,0,16,1,18,0,7,0
02/23/20,79,24,1,27,0,23,0,4,0
02/24/20,78,16,0,17,0,33,0,12,0
02/25/20,44,15,0,10,0,14,0,5,0
02/26/20,71,22,0,20,0,19,1,9,0
02/27/20,65,17,0,26,0,18,0,3,1
02/28/20,36,16,0,5,0,12,0,3,0
2/29/2020,51,16,0,7,0,24,0,4,0
3/1/2020,31,7,0,11,0,8,0,5,0
3/2/2020,35,9,0,12,0,9,0,5,0
3/3/2020,59,28,0,21,0,7,0,3,0
3/4/2020,53,17,0,19,0,14,0,3,0
3/5/2020,62,26,0,15,0,17,0,4,0
3/6/2020,60,18,0,22,0,11,0,9,0
3/7/2020,66,20,0,21,0,18,0,7,0
3/8/2020,40,6,0,18,0,11,0,5,0
3/9/2020,63,18,0,22,0,17,0,6,0
3/10/2020,76,21,0,24,1,24,0,6,0
3/11/2020,51,15,0,16,0,15,0,5,0
03/12/20,78,14,0,33,0,25,0,6,0
03/13/20,44,12,0,14,0,8,0,10,0
03/14/20,39,12,0,11,0,13,0,3,0
03/15/20,46,13,0,16,0,10,0,7,0
03/16/20,40,14,0,11,0,12,0,3,0
03/17/20,37,12,0,7,0,14,0,4,0
03/18/20,50,10,0,18,0,16,0,6,0
03/19/20,36,11,0,12,0,10,0,3,0
03/20/20,62,12,0,23,0,17,0,10,0
03/21/20,43,10,0,14,0,9,0,10,0
03/22/20,71,21,0,24,0,19,0,7,0
03/23/20,54,10,0,20,0,18,0,6,0
03/24/20,31,8,0,12,0,6,0,5,0
03/25/20,46,11,0,11,0,10,1,13,0
03/26/20,54,16,0,17,0,18,0,3,0
03/27/20,71,19,0,22,0,24,0,6,0
03/28/20,62,17,1,20,0,16,0,7,1
03/29/20,63,13,0,20,0,20,1,8,1
3/30/2020,78,22,0,20,1,23,1,11,0
3/31/2020,31,8,0,11,0,9,1,2,0
4/1/2020,40,8,0,15,1,14,0,2,0
4/2/2020,31,9,0,9,0,7,0,6,0
4/3/2020,36,11,0,7,0,15,0,3,0
4/4/2020,39,4,1,13,0,18,1,2,0
4/5/2020,38,13,1,11,0,8,0,5,0
4/6/2020,69,17,1,22,0,18,1,10,0
4/7/2020,72,17,0,20,0,24,1,10,0
4/8/2020,47,18,0,10,1,15,0,3,0
4/9/2020,77,13,0,21,1,33,0,9,0
4/10/2020,43,12,0,16,1,10,0,4,0
04/11/20,45,14,0,16,0,12,0,3,0
04/12/20,49,14,0,15,0,13,0,7,0
04/13/20,33,6,0,10,0,14,0,3,0
04/14/20,76,20,1,15,1,30,1,8,0
04/15/20,65,17,2,22,0,18,0,6,0
04/16/20,67,20,0,18,0,20,1,8,0
04/17/20,60,20,0,16,1,15,0,8,0
04/18/20,35,10,0,9,1,10,0,5,0
04/19/20,49,10,0,18,0,13,0,8,0
04/20/20,41,12,0,10,0,15,0,4,0
04/21/20,73,15,2,22,0,27,0,6,1
04/22/20,43,10,0,10,0,18,1,4,0
04/23/20,43,9,0,15,0,12,0,6,1
04/24/20,75,19,0,29,0,18,1,8,0
04/25/20,35,12,0,8,0,13,0,2,0
04/26/20,67,16,0,25,0,16,0,10,0
04/27/20,39,11,0,14,0,10,0,4,0
04/28/20,68,19,0,18,1,18,1,11,0
04/29/20,51,15,0,15,1,17,0,3,0
4/30/2020,34,8,1,12,0,10,0,3,0
5/1/2020,67,16,1,21,0,21,0,8,0
5/2/2020,62,23,0,17,0,17,0,5,0
5/3/2020,63,16,0,17,0,20,1,9,0
5/4/2020,78,19,0,16,0,34,0,9,0
5/5/2020,44,12,0,12,0,12,0,8,0
5/6/2020,46,12,0,13,0,15,1,5,0
5/7/2020,40,13,0,9,0,14,0,4,0
5/8/2020,64,19,0,22,0,16,0,7,0
5/9/2020,41,12,0,12,0,8,0,9,0
5/10/2020,62,17,0,17,0,23,0,5,0
5/11/2020,78,22,0,25,1,23,1,6,0
05/12/20,55,12,0,18,0,19,0,6,0
05/13/20,30,9,0,14,0,6,0,1,0
05/14/20,31,11,0,9,0,7,1,3,0
05/15/20,80,18,0,22,1,32,0,7,0
05/16/20,40,11,0,16,1,10,0,2,0
05/17/20,70,12,0,22,0,25,0,11,0
05/18/20,55,14,0,15,0,18,0,8,0
05/19/20,45,16,0,12,0,15,0,2,0
05/20/20,64,18,0,19,1,23,0,3,0
05/21/20,70,18,0,18,0,25,0,8,1
05/22/20,64,17,0,20,0,23,0,4,0
05/23/20,78,15,0,22,0,28,0,13,0
05/24/20,58,20,0,10,0,16,0,12,0
05/25/20,31,10,0,12,0,8,0,1,0
05/26/20,32,6,0,13,0,12,0,1,0
05/27/20,44,13,0,13,0,12,0,6,0
05/28/20,42,11,0,11,0,16,0,4,0
05/29/20,43,13,0,15,0,13,0,2,0
5/30/2020,40,8,0,14,0,11,0,7,0
5/31/2020,47,9,0,10,0,17,0,11,0
6/1/2020,34,14,0,9,0,8,0,3,0
6/2/2020,46,12,0,12,0,18,0,4,0
6/3/2020,56,20,0,18,0,17,0,1,0
6/4/2020,56,14,0,17,0,18,0,7,0
6/5/2020,60,24,0,13,1,15,0,7,0
6/6/2020,72,22,0,18,0,18,0,14,0
6/7/2020,41,11,0,14,0,14,0,2,0
6/8/2020,45,16,0,13,0,13,0,3,0
6/9/2020,34,9,0,5,1,13,0,6,0
6/10/2020,74,18,1,25,0,22,0,8,0
06/11/20,43,12,0,11,0,11,1,8,0
06/12/20,35,7,0,12,0,10,0,6,0
06/13/20,74,21,1,17,1,23,0,10,1
06/14/20,69,19,0,25,0,18,0,7,0
06/15/20,34,10,0,10,0,10,0,4,0
06/16/20,61,19,0,20,0,15,0,7,0
06/17/20,31,11,0,8,0,9,0,3,0
06/18/20,60,23,1,11,1,18,0,6,0
06/19/20,77,25,0,21,0,22,1,8,0
06/20/20,65,18,2,21,0,17,0,7,0
06/21/20,77,25,0,18,0,25,0,9,0
06/22/20,62,20,0,18,0,18,1,5,0
06/23/20,35,6,0,8,0,15,0,6,0
06/24/20,53,19,0,13,0,13,0,7,1
06/25/20,61,9,0,19,0,22,0,11,0
06/26/20,64,12,0,20,0,24,0,8,0
06/27/20,43,14,0,12,0,14,0,3,0
06/28/20,50,10,0,19,0,18,0,3,0
06/29/20,79,24,0,27,0,19,0,9,0
6/30/2020,54,14,0,15,0,16,0,9,0
7/1/2020,43,11,0,11,0,14,0,7,0
7/2/2020,56,12,0,14,0,24,0,6,0
7/3/2020,44,10,0,13,0,11,0,10,0
7/4/2020,68,13,0,29,0,16,0,10,0
7/5/2020,57,15,0,17,0,17,0,8,0
7/6/2020,75,23,0,18,0,25,1,8,0
7/7/2020,36,13,0,11,0,4,0,8,0
7/8/2020,66,20,0,22,0,20,1,3,0
7/9/2020,66,16,0,24,0,22,0,4,0
7/10/2020,66,20,0,21,0,23,0,2,0
7/11/2020,62,13,0,21,0,18,0,10,0
07/12/20,52,11,0,11,0,23,0,7,0
07/13/20,70,19,0,19,0,24,0,8,0
07/14/20,31,4,1,11,0,12,0,3,0
07/15/20,40,12,0,12,0,12,0,4,0
07/16/20,48,12,1,14,0,12,0,9,0
07/17/20,62,19,0,21,0,17,0,5,0
07/18/20,67,22,0,21,0,16,0,8,0
07/19/20,55,18,0,15,0,17,0,5,0
07/20/20,35,10,0,9,0,9,0,7,0
07/21/20,78,15,1,29,0,25,0,8,0
07/22/20,53,18,1,14,0,14,0,6,0
07/23/20,41,11,0,15,0,10,1,4,0
07/24/20,60,14,0,17,0,22,0,7,0
07/25/20,53,15,0,12,0,15,0,11,0
07/26/20,49,15,0,16,0,14,0,4,0
07/27/20,68,12,0,22,1,21,0,12,0
07/28/20,40,14,0,9,0,9,1,7,0
07/29/20,69,18,0,16,0,24,0,11,0
07/30/20,68,28,0,15,0,19,0,6,0
7/31/2020,41,10,0,14,0,11,0,6,0
8/1/2020,32,9,0,10,0,10,0,3,0
8/2/2020,69,22,0,20,0,23,0,4,0
8/3/2020,56,14,0,18,0,15,0,9,0
8/4/2020,44,10,1,17,0,11,0,5,0
8/5/2020,45,7,0,17,1,11,0,9,0
8/6/2020,77,18,1,26,0,29,0,3,0
8/7/2020,52,11,0,15,0,19,0,7,0
8/8/2020,57,14,0,18,0,20,1,4,0
8/9/2020,62,22,0,22,0,14,0,4,0
8/10/2020,37,8,0,11,0,12,0,6,0
8/11/2020,39,16,0,8,0,10,0,5,0
08/12/20,34,7,0,10,0,10,0,7,0
08/13/20,51,17,0,19,0,11,0,4,0
08/14/20,65,21,0,15,0,22,0,7,0
08/15/20,69,15,1,16,0,21,0,16,0
08/16/20,70,18,0,18,0,24,0,9,1
08/17/20,48,14,0,18,0,13,0,3,0
08/18/20,31,8,0,10,0,12,0,1,0
08/19/20,46,6,0,14,0,19,0,7,0
08/20/20,77,23,0,23,0,22,1,8,0
08/21/20,30,10,0,7,0,11,0,2,0
08/22/20,44,12,0,12,0,14,0,6,0
08/23/20,38,10,0,15,0,10,0,3,0
08/24/20,34,9,0,8,0,12,0,5,0
08/25/20,41,8,0,16,0,11,1,4,1
08/26/20,32,11,0,12,0,6,0,3,0
08/27/20,70,14,0,24,0,24,0,8,0
08/28/20,54,16,1,23,0,9,0,5,0
08/29/20,72,18,0,20,1,25,0,7,1
8/30/2020,34,5,0,14,0,11,0,4,0
8/31/2020,37,13,0,8,0,13,0,3,0
9/1/2020,48,20,0,13,0,11,0,4,0
9/2/2020,73,15,0,14,0,33,0,11,0
9/3/2020,65,15,0,17,0,24,0,9,0
9/4/2020,62,21,0,17,0,21,0,3,0
9/5/2020,64,13,0,27,0,19,0,5,0
9/6/2020,61,8,0,25,0,27,0,1,0
9/7/2020,58,16,0,14,0,19,0,9,0
9/8/2020,42,8,0,18,1,11,0,4,0
9/9/2020,68,28,0,14,0,17,0,9,0
9/10/2020,66,27,0,18,0,18,0,3,0
09/11/20,75,21,0,25,0,22,0,7,0
09/12/20,71,17,0,18,0,26,0,10,0
09/13/20,59,15,0,21,0,15,0,8,0
09/14/20,61,13,1,21,0,17,0,9,0
09/15/20,35,8,0,13,0,12,0,1,1
09/16/20,51,16,0,14,0,14,2,5,0
09/17/20,79,28,0,21,2,18,0,10,0
09/18/20,37,10,0,10,0,16,0,1,0
09/19/20,43,15,0,10,0,11,0,7,0
09/20/20,50,14,0,13,1,19,0,3,0
09/21/20,63,19,1,19,0,16,0,8,0
09/22/20,31,9,0,15,0,7,0,0,0
09/23/20,60,11,0,20,0,24,0,5,0
09/24/20,66,19,0,26,1,16,0,4,0
09/25/20,41,5,0,17,0,15,0,4,0
09/26/20,61,16,0,25,0,15,0,5,0
09/27/20,35,14,0,10,0,10,0,1,0
09/28/20,39,6,0,15,0,12,0,6,0
09/29/20,76,16,0,26,0,27,0,7,0
9/30/2020,40,11,0,8,0,16,0,5,0
10/1/2020,49,12,0,16,0,15,1,5,0
10/2/2020,45,12,0,14,0,14,0,5,0
10/3/2020,33,13,0,5,0,11,1,3,0
10/4/2020,59,15,0,19,0,16,0,9,0
10/5/2020,52,12,0,19,0,11,0,10,0
10/6/2020,41,10,0,10,0,14,0,7,0
10/7/2020,66,13,0,21,0,24,0,8,0
10/8/2020,30,8,0,8,0,12,0,2,0
10/9/2020,54,16,0,16,0,14,0,8,0
10/10/2020,50,15,0,15,0,13,0,7,0
10/11/2020,41,10,0,14,0,14,0,3,0
10/12/20,49,13,0,11,0,18,0,6,1
10/13/20,69,18,0,21,0,18,0,12,0
10/14/20,48,12,0,20,0,10,0,6,0
10/15/20,29,10,0,7,0,9,0,3,0
10/16/20,77,25,0,19,0,22,0,11,0
10/17/20,43,14,0,7,0,13,0,9,0
10/18/20,54,15,0,17,0,18,0,4,0
10/19/20,58,15,0,23,0,16,0,4,0
10/20/20,57,12,1,19,1,16,0,8,0
10/21/20,74,15,0,21,1,21,0,16,0
10/22/20,67,10,0,26,0,19,0,12,0
10/23/20,32,8,0,11,0,11,0,2,0
10/24/20,78,26,0,12,0,29,1,10,0
10/25/20,76,22,0,26,0,14,0,14,0
10/26/20,71,16,0,23,0,21,0,11,0
10/27/20,32,9,0,8,0,11,0,4,0
10/28/20,32,10,0,9,0,7,0,6,0
10/29/20,32,7,0,14,0,7,0,4,0
10/30/2020,30,9,0,6,0,14,0,1,0
10/31/2020,42,9,0,10,0,19,0,4,0
11/1/2020,77,19,0,24,0,27,0,7,0
11/2/2020,70,20,0,13,0,25,0,12,0
11/3/2020,71,14,0,36,0,14,0,7,0
11/4/2020,30,6,0,7,0,13,0,4,0
11/5/2020,68,30,0,19,0,15,0,4,0
11/6/2020,32,5,0,11,0,12,0,4,0
11/7/2020,65,15,0,22,0,22,0,6,0
11/8/2020,43,11,0,12,0,13,0,7,0
11/9/2020,30,12,0,7,0,6,0,5,0
11/10/2020,63,14,0,19,1,24,0,5,0
11/11/20,78,26,0,20,0,27,0,5,0
11/12/20,49,16,0,12,0,14,0,7,0
11/13/20,52,12,0,17,0,18,0,5,0
11/14/20,46,15,0,11,0,12,0,8,0
11/15/20,75,25,0,21,0,22,0,7,0
11/16/20,72,14,0,26,0,26,0,6,0
11/17/20,61,18,0,21,0,15,0,7,0
11/18/20,47,15,0,12,0,17,0,3,0
11/19/20,53,17,0,12,0,19,0,5,0
11/20/20,62,14,0,27,0,15,0,6,0
11/21/20,66,24,1,14,0,21,0,6,0
11/22/20,39,15,0,8,0,14,0,2,0
11/23/20,64,23,0,18,0,18,0,5,0
11/24/20,39,12,0,10,0,9,0,8,0
11/25/20,35,7,0,9,0,14,1,5,0
11/26/20,55,14,0,12,0,24,0,5,0
11/27/20,44,11,0,12,0,18,0,3,0
11/28/20,65,24,0,16,0,20,0,5,0
11/29/20,30,4,0,8,0,14,0,4,0
11/30/2020,70,18,1,21,0,25,0,5,0
12/1/2020,74,23,0,14,0,26,0,10,1
12/2/2020,53,19,0,14,0,18,0,8,0
12/3/2020,45,20,1,16,1,25,1,6,1
